,id,game_modes,genres,name,platforms,summary,rating
0,350392,[2],[5],Rival Species,[6],"In the far distant future of the 40th millennium behind the stars there is only war. Enter the universe of WARHAMMER 40,000 and play a mighty warrior for one out of an ever growing list of rival species. A large PvP team multiplayer mod for Half-Life that plays similary to Battlefield/Battlefront, based on the Game's Workshop property. Eventually Exterminatus, A sequel for the Source Engine would be made",
1,72,"[1, 2, 3, 4]","[8, 9, 31]",Portal 2,"[9, 3, 6, 14, 12, 130]","Sequel to the acclaimed Portal (2007), Portal 2 pits the protagonist of the original game, Chell, and her new robot friend, Wheatley, against more puzzles conceived by GLaDOS, an A.I. with the sole purpose of testing the Portal Gun's mechanics and taking revenge on Chell for the events of Portal. As a result of several interactions and revelations, Chell once again pushes to escape Aperture Science Labs.",91.33484389302151
2,63844,"[1, 2, 4]",[14],Ace wo Nerae!,[58],A tennis game for the Super Famicom based on the 1970s manga and anime of the same name.,52.90462943179914
3,330684,"[1, 2, 4]","[10, 33]",Nightmare Kart: The Old Karts,[6],"An upcoming free expansion to Nightmare Kart with a brand new mini-campaign, racers, karts, tracks, power-ups, and game modes.",
4,79850,"[1, 2]",[4],Umineko: Ougon Musou Kyoku - Cross,[6],"A tag-team fighting game based around the Umineko no Naku Koro ni universe of visual novels, Cross is the followup to 2010's Ougon Musou Kyoku.

In this version George, Jessica, and Rosa from the Ushiromiya family join the fray.",
5,109535,"[1, 2, 3]","[9, 31, 32]",We Were Here Together,"[48, 6, 167, 14, 49, 130]","As we explore these frozen wastes, misfortune strikes once again. Through the fierce blizzard, an emergency flare lights the sky, followed by a cry for help over the radio - broken, dying... No one else will be able to come to their rescue. But can we make it back - together?",76.42975805550405
6,371216,"[1, 2]","[13, 14, 15]",Football Manager Touch 2016,"[3, 34, 6, 39, 14]","Football Manager Touch 2016 is a streamlined football management simulation designed for faster play on tablets and computers. It features over 130 real leagues, cross-save compatibility between devices, and the series’ 3D match engine. New additions include Create-a-Club mode, Prozone match analysis, expanded tactical options, and various unlockables, offering a more accessible alternative to the full Football Manager experience.",
7,23614,"[1, 2, 3, 5]","[5, 12, 33]",Tanki Online,"[82, 3, 34, 6, 39, 14, 130]","Tanki Online is a free-to-play, browser-based multiplayer game in the arcade tank-shooter genre. Players use customized tanks on various different maps to defeat their opponents, either as part of a team or fighting solo. Other game modes include capturing flags and controlling specific points. Based on performance, every battle rewards players in the form of Crystals. Crystals can be spent to upgrade your tank or to buy new equipment. Tanki has many communities around the world, mostly based in Eastern Europe, Russia, and South Asian nations. The game can be easily run on old computers, even without a dedicated GPU, making it appealing to a large demographic.",47.99632303250504
8,217315,[2],"[15, 32]",Eonwar,,"Comfortably paced, match-based strategy with a PvE twist, contrasted with intense physics-based combat. Take direct control of tanks, infantry and ships across space and planetside. Manage your powerful deck of commanders and battle with up to 6 players! Will you rule or unite Omega Centauri?",
9,26558,[2],[5],Doom: Bloodfall,"[48, 6, 49]","Doom: Bloodfall is the third and final DLC Pack to bring all-new multiplayer content to the award-winning first-person shooter. With three new maps to dominate, one new playable demon to unleash, a new weapon to master, a new equipment item, and a host of new armor sets, taunts, and Hack Modules, Bloodfall offers players even more ways to expand and customize their fast-paced multiplayer experience.",
