id,name,updated_at
2,Point-and-click,1323382086.0
4,Fighting,1323289215.0
5,Shooter,1323289215.0
7,Music,1323289215.0
8,Platform,1323289215.0
9,Puzzle,1323289215.0
10,Racing,1323289215.0
11,Real Time Strategy (RTS),1323289215.0
12,Role-playing (RPG),1323289215.0
13,Simulator,1323289215.0
14,Sport,1323289215.0
15,Strategy,1323289215.0
16,Turn-based strategy (TBS),1323289215.0
24,Tactical,1323289215.0
25,Hack and slash/Beat 'em up,1323289215.0
26,Quiz/Trivia,1323289215.0
30,Pinball,1323289215.0
31,Adventure,1323568041.0
32,Indie,1341431954.0
33,Arcade,1380971449.0
34,Visual Novel,1571844717.0
35,Card & Board Game,1588855092.0
36,MOBA,1588855126.0
