id,name,updated_at
376,Epoch Super Cassette Vision,1718027289.0
510,e-Reader / Card-e Reader,1751998340.0
12,Xbox 360,1718027289.0
32,Sega Saturn,1718027289.0
62,Atari Jaguar,1718027289.0
148,AY-3-8607,1718027289.0
150,Turbografx-16/PC Engine CD,1718027289.0
156,Thomson MO5,1718027289.0
306,Satellaview,1718027289.0
339,Sega Pico,1718027289.0
389,AirConsole,1718027354.0
13,DOS,1718027289.0
60,Atari 7800,1718027289.0
41,Wii U,1718027289.0
309,Evercade,1758118777.0
506,Amstrad GX4000,1758118903.0
112,Microcomputer,1438766662.0
410,Atari Jaguar CD,1718027289.0
30,Sega 32X,1718027289.0
53,MSX2,1718027289.0
61,Atari Lynx,1718027289.0
77,Sharp X1,1718027289.0
120,Neo Geo Pocket Color,1718027289.0
127,Fairchild Channel F,1718027289.0
132,Amazon Fire TV,1758118890.0
413,Leapster Explorer/LeadPad Explorer,1718027289.0
140,AY-3-8500,1718027289.0
143,AY-3-8760,1718027289.0
153,Dragon 32/64,1718027289.0
167,PlayStation 5,1718027289.0
154,Amstrad PCW,1758118903.0
70,Vectrex,1718027289.0
87,Virtual Boy,1718027289.0
145,AY-3-8603,1718027289.0
386,Meta Quest 2,1718027289.0
390,PlayStation VR2,1718027289.0
477,Panasonic Jungle,1718027289.0
65,Atari 8-bit,1718027289.0
158,Commodore CDTV,1718027289.0
165,PlayStation VR,1718027289.0
504,Uzebox,1722568342.0
440,Visual Memory Unit / Visual Memory System,1718027289.0
473,Arcadia 2001,1718027289.0
474,Gizmondo,1718027289.0
48,PlayStation 4,1718027289.0
51,Family Computer Disk System,1718027289.0
89,Microvision,1718027289.0
94,Commodore Plus/4,1718027289.0
123,WonderSwan Color,1718027289.0
128,PC Engine SuperGrafx,1718027289.0
129,Texas Instruments TI-99,1718027289.0
482,Sega CD 32X,1718027289.0
3,Linux,1718027289.0
8,PlayStation 2,1718027289.0
88,Odyssey,1718027289.0
97,PDP-8,1718027289.0
23,Dreamcast,1718027289.0
136,Neo Geo CD,1718027289.0
134,Acorn Electron,1758118642.0
35,Sega Game Gear,1718027289.0
39,iOS,1718027289.0
44,Tapwave Zodiac,1718027289.0
6,PC (Microsoft Windows),1718027289.0
78,Sega CD,1746526427.0
144,AY-3-8710,1718027289.0
146,AY-3-8605,1718027289.0
163,SteamVR,1561990985.0
373,Sinclair ZX81,1718027289.0
147,AY-3-8606,1718027289.0
149,PC-9800 Series,1718027289.0
237,Sol-20,1718027289.0
505,Elektor TV Games Computer,1724962949.0
24,Game Boy Advance,1718027289.0
72,Ouya,1718027289.0
85,Donner Model 30,1718027289.0
115,Apple IIGS,1718027289.0
119,Neo Geo Pocket,1718027289.0
125,PC-8800 Series,1718027289.0
133,Odyssey 2 / Videopac G7000,1718027289.0
135,Hyper Neo Geo 64,1718027289.0
142,PC-50X Family,1718027289.0
9,PlayStation 3,1718027289.0
98,DEC GT40,1424466541.0
11,Xbox,1718027289.0
111,Imlac PDS-1,1438520149.0
162,Oculus VR,1632966500.0
20,Nintendo DS,1718027289.0
18,Nintendo Entertainment System,1718027289.0
46,PlayStation Vita,1718027289.0
308,Playdia,1718027289.0
116,Acorn Archimedes,1758118687.0
117,Philips CD-i,1758118922.0
22,Game Boy Color,1718027289.0
15,Commodore C64/128/MAX,1718027289.0
101,Ferranti Nimrod Computer,1718027289.0
67,Intellivision,1718027289.0
73,BlackBerry OS,1718027289.0
86,TurboGrafx-16/PC Engine,1718027289.0
66,Atari 5200,1718027289.0
108,PDP-11,1718027289.0
109,CDC Cyber 70,1718027289.0
113,OnLive Game System,1758118913.0
118,FM Towns,1718027289.0
121,Sharp X68000,1718027289.0
124,SwanCrystal,1718027289.0
131,Super NES CD-ROM System,1723051262.0
138,VC 4000,1718027289.0
139,1292 Advanced Programmable Video System,1718027289.0
152,FM-7,1718027289.0
155,Tatung Einstein,1718027289.0
157,NEC PC-6000 Series,1718027289.0
307,Game & Watch,1718027289.0
114,Amiga CD32,1758118665.0
161,Windows Mixed Reality,1518704273.0
374,Sharp MZ-2200,1718027289.0
375,Epoch Cassette Vision,1718027289.0
377,Plug & Play,1718027354.0
379,Game.com,1718027289.0
103,PDP-7,1437903108.0
382,Intellivision Amico,1718027289.0
384,Oculus Quest,1718027289.0
385,Oculus Rift,1718027289.0
387,Oculus Go,1718027289.0
479,Terebikko / See 'n Say Video Phone,1718027289.0
507,Advanced Pico Beena,1734550924.0
508,Nintendo Switch 2,1744035497.0
21,Nintendo GameCube,1718027289.0
33,Game Boy,1718027289.0
137,New Nintendo 3DS,1758118908.0
42,N-Gage,1718027289.0
57,WonderSwan,1718027289.0
38,PlayStation Portable,1718027289.0
69,BBC Microcomputer System,1718027289.0
71,Commodore VIC-20,1718027289.0
74,Windows Phone,1718027289.0
79,Neo Geo MVS,1718027289.0
80,Neo Geo AES,1718027289.0
84,SG-1000,1718027289.0
91,Bally Astrocade,1718027289.0
93,Commodore 16,1718027289.0
96,PDP-10,1718027289.0
122,Nuon,1718027289.0
141,AY-3-8610,1718027289.0
170,Google Stadia,1718027354.0
388,Gear VR,1758118811.0
372,OOParts,1718027354.0
203,DUPLICATE Stadia,1619110218.0
164,Daydream,1518705035.0
380,Casio Loopy,1718027289.0
100,Analogue electronics,1437903102.0
415,Watara/QuickShot Supervision,1718027289.0
478,Panasonic M2,1718027289.0
486,Digiblast,1718027289.0
381,Playdate,1758118908.0
509,Polymega,1739468973.0
26,ZX Spectrum,1718027289.0
378,Gamate,1758118791.0
27,MSX,1718027289.0
37,Nintendo 3DS,1718027289.0
169,Xbox Series X|S,1718027289.0
64,Sega Master System/Mark III,1718027289.0
95,PDP-1,1718027289.0
99,Family Computer,1718027289.0
102,EDSAC,1718027289.0
104,HP 2100,1718027289.0
105,HP 3000,1718027289.0
106,SDS Sigma 7,1718027289.0
107,Call-A-Computer time-shared mainframe computer system,1718027289.0
110,PLATO,1718027289.0
151,TRS-80 Color Computer,1718027289.0
166,Pokémon mini,1718027289.0
50,3DO Interactive Multiplayer,1718027289.0
238,DVD Player,1718027289.0
239,Blu-ray Player,1718027289.0
240,Zeebo,1718027289.0
274,PC-FX,1718027289.0
411,Handheld Electronic LCD,1758118598.0
236,Exidy Sorcerer,1718027289.0
405,Windows Mobile,1718027289.0
406,Sinclair QL,1718027289.0
407,HyperScan,1718027289.0
408,Mega Duck/Cougar Boy,1718027289.0
409,Legacy Computer,1718027289.0
412,Leapster,1718027289.0
414,LeapTV,1718027289.0
417,Palm OS,1718027289.0
439,V.Smile,1718027289.0
441,PocketStation,1718027289.0
471,Meta Quest 3,1755551017.0
472,visionOS,1718027289.0
475,R-Zone,1718027289.0
476,Apple Pippin,1718027289.0
480,Super A'Can,1718027289.0
481,Tomy Tutor / Pyuta / Grandstand Tutor,1718027289.0
34,Android,1718027289.0
16,Amiga,1718027289.0
68,ColecoVision,1718027289.0
25,Amstrad CPC,1718027289.0
52,Arcade,1718027289.0
29,Sega Mega Drive/Genesis,1718027289.0
47,Virtual Console,1718027354.0
7,PlayStation,1718027289.0
416,64DD,1758118574.0
438,Arduboy,1758118715.0
59,Atari 2600,1718027289.0
55,Legacy Mobile Device,1773854666.0
159,Nintendo DSi,1718027289.0
90,Commodore PET,1718027289.0
126,TRS-80,1718027289.0
487,LaserActive,1718027289.0
4,Nintendo 64,1718027289.0
5,Wii,1718027289.0
19,Super Nintendo Entertainment System,1718027289.0
49,Xbox One,1718027289.0
58,Super Famicom,1718027289.0
